packets,bytes,port,protocol,bytes_per_packet,label
2767,141310.69,22,ICMP,51.07,Malicious
2307,56982.9,8080,ICMP,24.7,Malicious
20,13919.4,80,TCP,695.97,Normal
11,7964.99,53,TCP,724.09,Normal
211,32696.56,80,ICMP,154.96,Suspicious
222,45754.2,445,TCP,206.1,Suspicious
184,21296.16,445,UDP,115.74,Suspicious
257,2570,22,TCP,10,Suspicious
1958,38690.08,3389,UDP,19.76,Malicious
196,18623.92,3389,TCP,95.02,Suspicious
3597,163123.95,22,TCP,45.35,Malicious
34,23819.38,443,TCP,700.57,Normal
335,8485.55,3389,TCP,25.33,Suspicious
101,9595.0,23,TCP,95.0,Suspicious
146,13617.42,3389,UDP,93.27,Suspicious
320,30182.4,23,TCP,94.32,Suspicious
26,11701.3,80,TCP,450.05,Normal
196,22375.36,80,UDP,114.16,Suspicious
320,67350.4,443,UDP,210.47,Suspicious
303,62193.78,445,TCP,205.26,Suspicious
288,33425.28,23,ICMP,116.06,Suspicious
131,22061.71,80,TCP,168.41,Suspicious
1118,49359.7,3389,TCP,44.15,Malicious
37,44402.22,53,TCP,1200.06,Normal
283,41714.2,3389,TCP,147.4,Suspicious
55,41649.3,53,UDP,757.26,Normal
64,43519.36,53,TCP,679.99,Normal
39,39016.38,53,TCP,1000.42,Normal
697,697,3389,TCP,1,Malicious
2565,214254.45,23,ICMP,83.53,Malicious
60,38594.4,80,TCP,643.24,Normal
42,41565.3,443,TCP,989.65,Normal
186,30608.16,3389,TCP,164.56,Suspicious
2150,130032.0,22,ICMP,60.48,Malicious
190,3148.3,23,TCP,16.57,Suspicious
112,6662.88,80,TCP,59.49,Suspicious
1872,114379.2,8080,TCP,61.1,Malicious
39,43148.04,8080,UDP,1106.36,Normal
46,19562.42,443,TCP,425.27,Normal
2308,145750.2,3389,TCP,63.15,Malicious
212,36309.24,445,TCP,171.27,Suspicious
274,40565.7,22,TCP,148.05,Suspicious
527,13132.84,23,ICMP,24.92,Malicious
98,980,23,TCP,10,Suspicious
58,36298.72,3306,UDP,625.84,Normal
282,38326.62,445,TCP,135.91,Suspicious
70,21718.2,53,TCP,310.26,Normal
34,20291.54,3306,TCP,596.81,Normal
300,11490.0,8080,TCP,38.3,Malicious
248,24006.4,443,TCP,96.8,Suspicious
26,12438.66,8080,TCP,478.41,Normal
2378,170764.18,23,TCP,71.81,Malicious
2337,73966.05,8080,UDP,31.65,Malicious
61,13416.34,80,UDP,219.94,Normal
68,19958.68,8080,UDP,293.51,Normal
18,6769.62,53,TCP,376.09,Normal
331,10270.93,23,TCP,31.03,Suspicious
115,1150,445,TCP,10,Suspicious
136,21619.92,22,TCP,158.97,Suspicious
51,16168.53,80,TCP,317.03,Normal
36,27298.8,53,UDP,758.3,Normal
3203,9929.3,8080,TCP,3.1,Malicious
203,22880.13,445,TCP,112.71,Suspicious
192,11107.2,443,TCP,57.85,Suspicious
242,54222.52,445,TCP,224.06,Suspicious
263,10362.2,80,ICMP,39.4,Suspicious
37,21320.51,80,TCP,576.23,Normal
224,20511.68,22,ICMP,91.57,Suspicious
1829,104819.99,22,UDP,57.31,Malicious
43,9958.37,80,UDP,231.59,Normal
26,16206.06,3306,TCP,623.31,Normal
2650,171057.5,22,TCP,64.55,Malicious
232,30547.44,80,TCP,131.67,Suspicious
1686,79882.68,22,ICMP,47.38,Malicious
25,5862.75,3306,TCP,234.51,Normal
207,75904.83,3389,UDP,366.69,Suspicious
291,47881.14,22,ICMP,164.54,Suspicious
46,36094.82,80,TCP,784.67,Normal
149,1490,22,ICMP,10,Suspicious
98,3918.04,80,TCP,39.98,Suspicious
14,9647.12,53,UDP,689.08,Normal
2995,111713.5,8080,ICMP,37.3,Malicious
241,13173.06,22,TCP,54.66,Suspicious
162,21555.72,3389,TCP,133.06,Suspicious
66,40945.74,8080,TCP,620.39,Normal
51,29211.78,3306,TCP,572.78,Normal
176,15475.68,23,TCP,87.93,Suspicious
23,24391.27,3306,TCP,1060.49,Normal
1729,41444.13,445,TCP,23.97,Malicious
1236,39663.24,445,ICMP,32.09,Malicious
36,29211.84,3306,UDP,811.44,Normal
2351,140472.25,3389,TCP,59.75,Malicious
310,3100,443,ICMP,10,Suspicious
37,27836.21,443,TCP,752.33,Normal
226,24473.54,80,TCP,108.29,Suspicious
1414,66118.64,445,ICMP,46.76,Malicious
602,25001.06,23,TCP,41.53,Malicious
613,23030.41,22,ICMP,37.57,Malicious
33,19210.95,80,UDP,582.15,Normal
227,30951.45,445,UDP,136.35,Suspicious
52,65983.84,80,TCP,1268.92,Normal
1293,63900.06,445,TCP,49.42,Malicious
147,23281.86,22,TCP,158.38,Suspicious
4256,312901.12,22,TCP,73.52,Malicious
79,40263.14,443,TCP,509.66,Normal
429,13204.62,8080,ICMP,30.78,Malicious
120,27712.8,80,UDP,230.94,Suspicious
1638,72022.86,22,ICMP,43.97,Malicious
1086,50281.8,3389,ICMP,46.3,Malicious
130,25724.4,22,TCP,197.88,Suspicious
405,4050,3389,UDP,10,Suspicious
181,43005.6,23,TCP,237.6,Suspicious
1545,88111.35,3389,TCP,57.03,Malicious
46,21760.3,80,TCP,473.05,Normal
25,20298.5,443,TCP,811.94,Normal
76,13743.08,443,TCP,180.83,Suspicious
281,54620.78,443,TCP,194.38,Suspicious
2820,100307.4,22,TCP,35.57,Malicious
284,50586.08,443,UDP,178.12,Suspicious
37,47726.67,80,UDP,1289.91,Normal
994,21967.4,22,TCP,22.1,Malicious
36,14873.04,8080,UDP,413.14,Normal
915,11830.95,22,ICMP,12.93,Malicious
63,37813.23,53,TCP,600.21,Normal
192,30144.0,445,UDP,157.0,Suspicious
185,13850.95,22,ICMP,74.87,Suspicious
274,31293.54,22,UDP,114.21,Suspicious
1352,59285.2,3389,TCP,43.85,Malicious
1288,8513.68,8080,ICMP,6.61,Malicious
1871,119276.25,445,ICMP,63.75,Malicious
253,14985.19,445,ICMP,59.23,Suspicious
2513,151156.95,8080,ICMP,60.15,Malicious
52,52338.0,3306,TCP,1006.5,Normal
56,8594.88,3389,UDP,153.48,Suspicious
314,3140,443,UDP,10,Suspicious
31,16821.53,8080,UDP,542.63,Normal
146,11666.86,3389,ICMP,79.91,Suspicious
2069,38752.37,22,UDP,18.73,Malicious
3222,72495.0,8080,ICMP,22.5,Malicious
1348,95937.16,22,TCP,71.17,Malicious
1275,59007.0,22,TCP,46.28,Malicious
304,38343.52,3389,TCP,126.13,Suspicious
34,23624.9,53,UDP,694.85,Normal
58,9659.9,22,TCP,166.55,Suspicious
2648,137272.32,3389,ICMP,51.84,Malicious
308,42445.48,443,TCP,137.81,Suspicious
249,54807.39,22,ICMP,220.11,Suspicious
38,19115.52,53,TCP,503.04,Normal
1643,92829.5,3389,TCP,56.5,Malicious
1476,59158.08,8080,TCP,40.08,Malicious
5,3672.6,53,TCP,734.52,Normal
44,17302.12,80,UDP,393.23,Normal
1785,62100.15,8080,ICMP,34.79,Malicious
1419,47749.35,3389,ICMP,33.65,Malicious
1226,60662.48,22,ICMP,49.48,Malicious
2226,57675.66,3389,TCP,25.91,Malicious
112,16901.92,80,ICMP,150.91,Suspicious
32,38252.8,8080,TCP,1195.4,Normal
2694,83217.66,445,TCP,30.89,Malicious
277,46771.45,22,TCP,168.85,Suspicious
43,36826.49,80,TCP,856.43,Normal
15,9074.25,53,UDP,604.95,Normal
30,15965.1,8080,UDP,532.17,Normal
43,32254.3,8080,TCP,750.1,Normal
1315,21434.5,3389,TCP,16.3,Malicious
243,65043.81,22,UDP,267.67,Suspicious
2590,7977.2,22,ICMP,3.08,Malicious
196,4592.28,22,TCP,23.43,Suspicious
279,2790,80,ICMP,10,Suspicious
17,6477.85,8080,TCP,381.05,Normal
12,16353.6,8080,TCP,1362.8,Normal
2831,17835.3,23,ICMP,6.3,Malicious
27,23422.77,8080,UDP,867.51,Normal
65,55333.85,443,TCP,851.29,Normal
1149,83348.46,22,ICMP,72.54,Malicious
2068,128050.56,445,TCP,61.92,Malicious
295,16635.05,3389,TCP,56.39,Suspicious
223,33331.81,22,TCP,149.47,Suspicious
133,23642.08,443,UDP,177.76,Suspicious
159,12980.76,3389,UDP,81.64,Suspicious
1595,117854.55,445,TCP,73.89,Malicious
24,26214.0,443,TCP,1092.25,Normal
186,7081.02,23,ICMP,38.07,Suspicious
325,63404.25,23,ICMP,195.09,Suspicious
1590,61278.6,23,TCP,38.54,Malicious
1872,60109.92,445,UDP,32.11,Malicious
2440,101308.8,445,ICMP,41.52,Malicious
785,34226.0,23,TCP,43.6,Malicious
13,9490.26,8080,TCP,730.02,Normal
2873,111558.59,23,TCP,38.83,Malicious
2162,3134.9,8080,ICMP,1.45,Malicious
1037,35268.37,3389,TCP,34.01,Malicious
144,35938.08,3389,TCP,249.57,Suspicious
217,19840.31,80,ICMP,91.43,Suspicious
27,27828.9,53,TCP,1030.7,Normal
1417,71416.8,22,TCP,50.4,Malicious
27,21548.7,443,UDP,798.1,Normal
1757,40446.14,22,TCP,23.02,Malicious
259,27505.8,80,UDP,106.2,Suspicious
1692,63094.68,22,ICMP,37.29,Malicious
144,8917.92,22,UDP,61.93,Suspicious
1658,85818.08,23,TCP,51.76,Malicious
1642,25943.6,445,TCP,15.8,Malicious
415,4150,445,TCP,10,Suspicious
1324,14789.08,3389,TCP,11.17,Malicious
36,32643.0,3306,TCP,906.75,Normal
388,33387.4,22,TCP,86.05,Suspicious
27,30837.78,443,TCP,1142.14,Normal
8,3373.44,80,TCP,421.68,Normal
37,15174.81,443,TCP,410.13,Normal
181,10311.57,445,UDP,56.97,Suspicious
42,7097.58,80,TCP,168.99,Normal
291,53928.12,3389,ICMP,185.32,Suspicious
35,23364.95,80,UDP,667.57,Normal
2180,116673.6,445,TCP,53.52,Malicious
44,61847.72,80,TCP,1405.63,Normal
2456,148440.64,22,ICMP,60.44,Malicious
2286,8915.4,445,ICMP,3.9,Malicious
2078,68137.62,22,TCP,32.79,Malicious
189,16369.29,23,TCP,86.61,Suspicious
1549,2540.36,22,TCP,1.64,Malicious
30,20260.8,8080,TCP,675.36,Normal
43,29807.6,443,TCP,693.2,Normal
36,31947.48,8080,TCP,887.43,Normal
300,13116.0,23,TCP,43.72,Malicious
226,45279.1,80,TCP,200.35,Suspicious
33,14208.81,443,TCP,430.57,Normal
1937,125323.9,23,ICMP,64.7,Malicious
237,20550.27,80,TCP,86.71,Suspicious
1015,23588.6,22,TCP,23.24,Malicious
29,31090.03,443,TCP,1072.07,Normal
316,18903.12,22,TCP,59.82,Suspicious
32,17064.64,443,TCP,533.27,Normal
62,52654.12,80,TCP,849.26,Normal
300,12801.0,3389,ICMP,42.67,Malicious
1647,1647,23,UDP,1,Malicious
895,50603.3,3389,ICMP,56.54,Malicious
268,24605.08,3389,ICMP,91.81,Suspicious
2715,22697.4,445,ICMP,8.36,Malicious
25,19663.25,443,TCP,786.53,Normal
62,5144.76,80,UDP,82.98,Suspicious
35,25421.9,53,UDP,726.34,Normal
146,24776.2,80,TCP,169.7,Suspicious
238,30107.0,445,TCP,126.5,Suspicious
212,13468.36,23,ICMP,63.53,Suspicious
28,14540.68,80,TCP,519.31,Normal
3320,111286.4,3389,UDP,33.52,Malicious
2334,85074.3,22,ICMP,36.45,Malicious
6,4239.9,3306,TCP,706.65,Normal
144,9398.88,23,ICMP,65.27,Suspicious
112,22199.52,3389,TCP,198.21,Suspicious
148,30337.04,23,ICMP,204.98,Suspicious
1525,80931.75,3389,ICMP,53.07,Malicious
206,29944.16,80,ICMP,145.36,Suspicious
43,22281.31,3306,TCP,518.17,Normal
77,6886.88,3389,ICMP,89.44,Suspicious
985,985,8080,TCP,1,Malicious
149,21213.13,23,ICMP,142.37,Suspicious
54,31959.36,80,UDP,591.84,Normal
266,9756.88,3389,TCP,36.68,Suspicious
48,43976.64,443,TCP,916.18,Normal
545,21135.1,8080,ICMP,38.78,Malicious
21,15009.33,80,TCP,714.73,Normal
891,19985.13,23,ICMP,22.43,Malicious
83,24431.05,443,TCP,294.35,Suspicious
52,44663.32,443,TCP,858.91,Normal
2496,89756.16,8080,TCP,35.96,Malicious
225,16350.75,445,ICMP,72.67,Suspicious
239,36949.4,22,TCP,154.6,Suspicious
32,3514.56,8080,TCP,109.83,Normal
204,37774.68,443,TCP,185.17,Suspicious
163,37514.45,22,TCP,230.15,Suspicious
18,16311.06,53,TCP,906.17,Normal
263,46274.85,23,TCP,175.95,Suspicious
72,9473.76,23,TCP,131.58,Suspicious
2302,81237.58,445,UDP,35.29,Malicious
37,28113.34,53,TCP,759.82,Normal
130,37265.8,80,TCP,286.66,Suspicious
155,2602.45,445,TCP,16.79,Suspicious
281,34841.19,3389,TCP,123.99,Suspicious
14,13242.04,443,TCP,945.86,Normal
39,38361.18,8080,TCP,983.62,Normal
1309,72413.88,3389,TCP,55.32,Malicious
54,46114.92,3306,TCP,853.98,Normal
26,22302.8,443,TCP,857.8,Normal
24,14140.8,3306,UDP,589.2,Normal
23,7107.0,80,TCP,309.0,Normal
155,1550,23,TCP,10,Suspicious
1256,73928.16,23,TCP,58.86,Malicious
255,40698.0,445,TCP,159.6,Suspicious
1814,66120.3,3389,UDP,36.45,Malicious
181,9212.9,445,TCP,50.9,Suspicious
1855,44649.85,8080,TCP,24.07,Malicious
1887,115446.66,3389,TCP,61.18,Malicious
2098,82787.08,23,ICMP,39.46,Malicious
43,21430.77,8080,UDP,498.39,Normal
1969,45621.73,3389,TCP,23.17,Malicious
29,23743.17,8080,TCP,818.73,Normal
206,2060,3389,UDP,10,Suspicious
52,34717.28,8080,TCP,667.64,Normal
2117,66960.71,23,TCP,31.63,Malicious
238,34471.92,445,UDP,144.84,Suspicious
136,16340.4,3389,ICMP,120.15,Suspicious
2384,100104.16,23,TCP,41.99,Malicious
260,31002.4,445,TCP,119.24,Suspicious
16,9709.6,8080,UDP,606.85,Normal
49,35529.41,3306,UDP,725.09,Normal
2525,104989.5,22,TCP,41.58,Malicious
196,52918.04,80,TCP,269.99,Suspicious
34,24339.92,53,TCP,715.88,Normal
29,16424.44,80,TCP,566.36,Normal
1709,108965.84,23,ICMP,63.76,Malicious
116,14906.0,23,TCP,128.5,Suspicious
31,22341.7,8080,TCP,720.7,Normal
215,36932.7,3389,ICMP,171.78,Suspicious
249,2490,22,TCP,10,Suspicious
297,50867.19,445,UDP,171.27,Suspicious
1695,92208.0,445,ICMP,54.4,Malicious
2288,29377.92,3389,TCP,12.84,Malicious
156,39092.04,3389,TCP,250.59,Suspicious
2326,33168.76,445,TCP,14.26,Malicious
208,24298.56,445,ICMP,116.82,Suspicious
1160,30322.4,23,TCP,26.14,Malicious
3584,271703.04,445,ICMP,75.81,Malicious
1340,116432.6,22,TCP,86.89,Malicious
1516,35610.84,445,ICMP,23.49,Malicious
2605,2605,445,ICMP,1,Malicious
128,1280,80,TCP,10,Suspicious
1,271.05,80,TCP,271.05,Normal
1767,76493.43,23,ICMP,43.29,Malicious
1,777.57,3306,UDP,777.57,Normal
2430,31954.5,445,ICMP,13.15,Malicious
2162,110629.54,22,UDP,51.17,Malicious
25,22845.0,53,UDP,913.8,Normal
1915,105822.9,22,TCP,55.26,Malicious
173,22405.23,23,ICMP,129.51,Suspicious
1417,16734.77,3389,UDP,11.81,Malicious
226,15627.9,445,UDP,69.15,Suspicious
32,24023.68,443,UDP,750.74,Normal
50,20024.5,443,UDP,400.49,Normal
49,20361.95,3306,TCP,415.55,Normal
17,10784.63,3306,TCP,634.39,Normal
1279,5448.54,23,TCP,4.26,Malicious
116,6347.52,3389,TCP,54.72,Suspicious
34,10894.28,8080,TCP,320.42,Normal
2448,49033.44,22,TCP,20.03,Malicious
306,84740.58,3389,TCP,276.93,Suspicious
53,20020.75,53,UDP,377.75,Normal
38,33695.74,80,TCP,886.73,Normal
255,24145.95,80,TCP,94.69,Suspicious
56,34539.68,8080,TCP,616.78,Normal
248,35292.88,80,UDP,142.31,Suspicious
2411,69147.48,8080,ICMP,28.68,Malicious
2633,212298.79,23,TCP,80.63,Malicious
824,23681.76,23,TCP,28.74,Malicious
221,14932.97,443,TCP,67.57,Suspicious
40,3513.2,3389,TCP,87.83,Suspicious
884,38445.16,3389,TCP,43.49,Malicious
37,28044.52,8080,TCP,757.96,Normal
287,40794.18,80,TCP,142.14,Suspicious
40,37866.0,80,TCP,946.65,Normal
2023,152493.74,3389,UDP,75.38,Malicious
54,58866.48,3306,TCP,1090.12,Normal
230,15757.3,80,TCP,68.51,Suspicious
2163,8111.25,8080,TCP,3.75,Malicious
26,10043.28,53,TCP,386.28,Normal
1482,24690.12,8080,ICMP,16.66,Malicious
329,103750.15,3389,UDP,315.35,Suspicious
57,21422.88,80,TCP,375.84,Normal
188,28089.08,80,TCP,149.41,Suspicious
1974,51383.22,445,TCP,26.03,Malicious
76,45195.68,53,TCP,594.68,Normal
48,35205.6,53,TCP,733.45,Normal
2253,91156.38,8080,TCP,40.46,Malicious
219,23196.48,22,TCP,105.92,Suspicious
304,41693.6,3389,TCP,137.15,Suspicious
2609,40048.15,3389,ICMP,15.35,Malicious
396,8557.56,23,ICMP,21.61,Malicious
1909,110951.08,23,TCP,58.12,Malicious
66,41439.42,3306,TCP,627.87,Normal
1970,138707.7,3389,TCP,70.41,Malicious
184,7590.0,23,TCP,41.25,Suspicious
926,45253.62,22,ICMP,48.87,Malicious
70,30363.9,8080,UDP,433.77,Normal
1384,44758.56,3389,UDP,32.34,Malicious
35,45962.0,443,TCP,1313.2,Normal
112,12976.32,23,TCP,115.86,Suspicious
21,18867.66,443,UDP,898.46,Normal
18,20048.76,443,TCP,1113.82,Normal
3059,114223.06,3389,ICMP,37.34,Malicious
20,15602.0,443,TCP,780.1,Normal
1305,1305,8080,TCP,1,Malicious
1464,38473.92,3389,TCP,26.28,Malicious
40,27410.0,3306,TCP,685.25,Normal
367,80611.55,3389,TCP,219.65,Suspicious
29,25651.95,443,TCP,884.55,Normal
2379,87047.61,8080,ICMP,36.59,Malicious
2119,86222.11,23,TCP,40.69,Malicious
35,28616.7,80,TCP,817.62,Normal
797,29122.38,22,TCP,36.54,Malicious
1,537.15,53,TCP,537.15,Normal
40,19703.2,8080,TCP,492.58,Normal
41,39658.89,8080,TCP,967.29,Normal
26,23358.92,8080,TCP,898.42,Normal
217,13907.53,80,ICMP,64.09,Suspicious
226,57315.86,443,ICMP,253.61,Suspicious
51,39326.61,443,TCP,771.11,Normal
277,4805.95,3389,UDP,17.35,Suspicious
58,48763.5,443,UDP,840.75,Normal
13,9649.38,443,TCP,742.26,Normal
75,28411.5,443,TCP,378.82,Normal
36,22341.24,3306,TCP,620.59,Normal
161,43558.55,23,UDP,270.55,Suspicious
965,29490.4,445,TCP,30.56,Malicious
116,6325.48,80,TCP,54.53,Suspicious
60,65919.0,3306,TCP,1098.65,Normal
12,3611.4,8080,TCP,300.95,Normal
20,14430.2,443,TCP,721.51,Normal
33,17496.27,8080,TCP,530.19,Normal
19,16776.62,53,UDP,882.98,Normal
225,27265.5,22,UDP,121.18,Suspicious
2635,65927.7,8080,TCP,25.02,Malicious
324,35163.72,3389,TCP,108.53,Suspicious
1901,126872.74,3389,TCP,66.74,Malicious
9,6042.42,53,TCP,671.38,Normal
373,79725.02,22,TCP,213.74,Suspicious
44,31484.64,80,TCP,715.56,Normal
3727,238229.84,3389,TCP,63.92,Malicious
3040,32832.0,8080,TCP,10.8,Malicious
2027,104410.77,3389,TCP,51.51,Malicious
54,17160.66,80,TCP,317.79,Normal
53,29926.98,80,TCP,564.66,Normal
1,942.91,8080,UDP,942.91,Normal
1032,23766.96,8080,ICMP,23.03,Malicious
176,31081.6,445,ICMP,176.6,Suspicious
260,40783.6,443,ICMP,156.86,Suspicious
2040,73480.8,22,ICMP,36.02,Malicious
1418,52182.4,445,TCP,36.8,Malicious
728,42638.96,22,ICMP,58.57,Malicious
18,9046.26,53,TCP,502.57,Normal
61,44662.37,53,TCP,732.17,Normal
1327,40964.49,3389,ICMP,30.87,Malicious
244,2440,80,ICMP,10,Suspicious
214,40219.16,445,TCP,187.94,Suspicious
18,20028.78,80,TCP,1112.71,Normal
2012,107762.72,445,ICMP,53.56,Malicious
1827,71728.02,3389,ICMP,39.26,Malicious
300,18054.0,22,ICMP,60.18,Malicious
1556,27961.32,22,ICMP,17.97,Malicious
81,13711.68,22,ICMP,169.28,Suspicious
176,27443.68,23,UDP,155.93,Suspicious
221,45747.0,22,ICMP,207.0,Suspicious
851,40907.57,22,TCP,48.07,Malicious
65,54259.4,443,TCP,834.76,Normal
293,75101.76,23,ICMP,256.32,Suspicious
22,11346.72,3306,UDP,515.76,Normal
1745,52716.45,22,ICMP,30.21,Malicious
28,12808.04,443,TCP,457.43,Normal
240,12072.0,23,ICMP,50.3,Suspicious
180,16943.4,445,TCP,94.13,Suspicious
18,13453.56,80,TCP,747.42,Normal
46,46935.18,8080,TCP,1020.33,Normal
237,54282.48,22,TCP,229.04,Suspicious
1947,5879.94,8080,TCP,3.02,Malicious
44,42809.8,443,TCP,972.95,Normal
3190,132193.6,22,ICMP,41.44,Malicious
57,47269.53,8080,TCP,829.29,Normal
14,9690.24,3306,TCP,692.16,Normal
1384,14296.72,8080,ICMP,10.33,Malicious
30,16940.4,8080,TCP,564.68,Normal
22,12338.7,8080,TCP,560.85,Normal
24,16438.56,3306,TCP,684.94,Normal
152,8160.88,23,TCP,53.69,Suspicious
35,24646.3,3306,TCP,704.18,Normal
254,2540,443,ICMP,10,Suspicious
22,14768.38,8080,TCP,671.29,Normal
1251,48338.64,445,UDP,38.64,Malicious
363,27852.99,22,ICMP,76.73,Suspicious
1433,43806.81,8080,TCP,30.57,Malicious
188,22443.44,80,TCP,119.38,Suspicious
196,43909.88,23,TCP,224.03,Suspicious
1674,1674,3389,TCP,1,Malicious
14,4693.36,3306,TCP,335.24,Normal
49,43050.91,3306,TCP,878.59,Normal
17,17771.29,80,UDP,1045.37,Normal
1653,86980.86,23,TCP,52.62,Malicious
23,15073.28,53,TCP,655.36,Normal
126,1260,3389,TCP,10,Suspicious
195,26588.25,22,ICMP,136.35,Suspicious
399,3990,80,TCP,10,Suspicious
1265,89309.0,23,TCP,70.6,Malicious
137,20219.83,23,TCP,147.59,Suspicious
19,17104.56,8080,TCP,900.24,Normal
1249,46700.11,22,ICMP,37.39,Malicious
46,28390.28,53,TCP,617.18,Normal
1634,93023.62,445,TCP,56.93,Malicious
8,5362.16,443,UDP,670.27,Normal
349,39765.06,80,ICMP,113.94,Suspicious
1195,31667.5,3389,UDP,26.5,Malicious
1,793.94,443,TCP,793.94,Normal
135,12139.2,80,ICMP,89.92,Suspicious
2473,70777.26,23,ICMP,28.62,Malicious
161,1610,445,UDP,10,Suspicious
19,12131.69,8080,TCP,638.51,Normal
1308,72123.12,8080,ICMP,55.14,Malicious
35,10579.1,443,TCP,302.26,Normal
98,30886.66,80,TCP,315.17,Suspicious
22,3497.12,80,UDP,158.96,Normal
42,4339.86,53,TCP,103.33,Normal
11,12280.18,80,TCP,1116.38,Normal
11,3475.56,80,TCP,315.96,Normal
2782,30685.46,3389,ICMP,11.03,Malicious
2937,216075.09,23,ICMP,73.57,Malicious
209,32754.48,80,TCP,156.72,Suspicious
235,18619.05,22,UDP,79.23,Suspicious
257,40575.16,22,ICMP,157.88,Suspicious
2401,63146.3,22,TCP,26.3,Malicious
198,32749.2,443,ICMP,165.4,Suspicious
97,1317.26,22,UDP,13.58,Suspicious
250,41475.0,23,UDP,165.9,Suspicious
173,31335.49,445,ICMP,181.13,Suspicious
289,23663.32,22,ICMP,81.88,Suspicious
264,35684.88,80,TCP,135.17,Suspicious
1450,62828.5,445,ICMP,43.33,Malicious
2910,137090.1,8080,ICMP,47.11,Malicious
255,50813.85,443,UDP,199.27,Suspicious
2005,82886.7,23,TCP,41.34,Malicious
1530,95533.2,445,ICMP,62.44,Malicious
25,14734.75,53,TCP,589.39,Normal
2577,111764.49,3389,TCP,43.37,Malicious
17,15741.66,8080,TCP,925.98,Normal
35,24091.55,53,TCP,688.33,Normal
